Average Domestic Air Fares  ,,,,,,,,,,,
,,,,,,,,,,,
Year,Quarter,U.S. Average (Inflation-Adjusted $),Chicago O'Hare -  IL (Inflation-Adjusted $),Newark-Liberty -  NJ (Inflation-Adjusted $),San Francisco -  CA (Inflation-Adjusted $),,,,,,
1995,1,591.59,677.98,731.06,713.36,,,,,,
1995,2,585.55,683.46,745.61,723.51,,Year,Quarter,U.S. Average (Current $),airport,airport average
1995,3,565.4,695.03,747,699.88,,1995,1,296.9,1,340.25
1995,4,563.22,687.19,744.49,690.18,,1995,1,296.9,2,346.03
1996,1,550.75,657.51,695.53,676.87,,1995,1,296.9,3,353.43
1996,2,528.99,648.9,685.16,682.59,,1995,2,296.46,1,351.12
1996,3,514.8,659.2,669.21,653.16,,1995,2,296.46,2,339.02
1996,4,527.88,664.9,737.2,669.36,,1995,2,296.46,3,337.89
1997,1,533.92,662.98,720.99,651.96,,,,,,
1997,2,542.66,697.5,735.76,705,,,,,,
1997,3,527.6,695.8,721.48,678.45,,,,,,
1997,4,546.45,701.15,778.32,709.3,,,,,,
1998,1,565.84,727.2,734.03,736.48,,,,,,
1998,2,555.57,700.03,764.38,711.17,,,,,,
1998,3,579.99,695.5,715.07,703.69,,,,,,
1998,4,579.68,683.75,724.98,722.93,,,,,,
1999,1,605.87,738.92,794.09,765.8,,,,,,
1999,2,595.69,743.69,772.1,757.8,,,,,,
1999,3,570.23,690.31,725.2,712.88,,,,,,
1999,4,568,667.79,739.63,742.65,,,,,,
2000,1,601.86,724.02,797.24,801.7,,,,,,
2000,2,593.59,711.99,787.33,790.85,,,,,,
2000,3,584.67,721.7,764.65,775.42,,,,,,
2000,4,587.43,700.97,790.43,787.58,,,,,,
2001,1,594.88,702.5,795.97,796.76,,,,,,
2001,2,556.29,657.69,727.37,746.86,,,,,,
2001,3,512.43,594.82,653.24,675.53,,,,,,
2001,4,508.43,571.01,665.09,731.14,,,,,,
2002,1,540.77,604.49,703.11,756.86,,,,,,
2002,2,531.22,577.32,663.76,708.1,,,,,,
2002,3,504.85,537.16,639.33,650.65,,,,,,
2002,4,512.49,545.22,663.15,696.4,,,,,,
2003,1,524.33,534.55,699.12,719.6,,,,,,
2003,2,514.54,541.84,664.42,696.76,,,,,,
2003,3,508.81,575.72,648.43,695.27,,,,,,
2003,4,514.23,572.94,654.43,694.25,,,,,,
2004,1,516.82,553.99,662.52,668.82,,,,,,
2004,2,492.16,516.11,637.94,634.67,,,,,,
2004,3,470.17,491.56,591.59,607.38,,,,,,
2004,4,468.54,483.6,590.14,617.82,,,,,,
2005,1,472.05,485.24,608.24,645.33,,,,,,
2005,2,473.87,480.63,614.72,643.73,,,,,,
2005,3,467.12,480.97,597.97,637.83,,,,,,
2005,4,478.22,484.2,558.14,629.15,,,,,,
2006,1,488.6,502.38,562.97,647.99,,,,,,
2006,2,507.52,509.6,592.95,679.3,,,,,,
2006,3,487.83,493.32,564.5,644.03,,,,,,
2006,4,474.19,467.99,542.4,653.04,,,,,,
2007,1,468.8,458.66,546.6,622.23,,,,,,
2007,2,470.98,469.68,542.93,627.87,,,,,,
2007,3,472.87,484.3,557.94,616.82,,,,,,
2007,4,472.71,479.23,558.18,612.91,,,,,,
2008,1,472.39,488.69,568.59,560.57,,,,,,
2008,2,481.15,498.13,603.31,567.95,,,,,,
2008,3,492.06,521.24,617.61,572.87,,,,,,
2008,4,487.33,513.04,604.12,570.97,,,,,,
2009,1,444.96,474.43,538.7,471.22,,,,,,
2009,2,423.41,443.9,526.03,466.91,,,,,,
2009,3,427.75,455.4,529.43,477.15,,,,,,
2009,4,444.84,470.4,564.5,488.38,,,,,,
2010,1,454.5,482.08,585.76,469.37,,,,,,
2010,2,469.8,490.9,619.91,525.89,,,,,,
2010,3,467.91,497.52,645.31,522.68,,,,,,
2010,4,459.75,490.45,632.36,517.42,,,,,,
2011,1,482.41,527.51,637.15,523.91,,,,,,
2011,2,492.88,509.35,625.57,554.35,,,,,,
2011,3,478.88,492.45,619.98,531.84,,,,,,
2011,4,489.78,497.2,629.69,556.71,,,,,,
2012,1,491.77,500.04,620.92,498.43,,,,,,
2012,2,504.09,513.83,629.19,557.6,,,,,,
2012,3,479.01,494.92,615.62,522.21,,,,,,
2012,4,488.32,507.52,633.89,552.99,,,,,,
2013,1,490.78,507.42,630.13,536.8,,,,,,
2013,2,488.37,499.64,612.24,550.89,,,,,,
2013,3,503.4,531.36,631.62,555.44,,,,,,
2013,4,500.29,530.13,643.38,560.35,,,,,,
2014,1,495.53,529.79,616.73,521.18,,,,,,
2014,2,508.65,534.91,637.89,563.31,,,,,,
2014,3,504.19,536.09,638.7,552.28,,,,,,
2014,4,503.32,515.78,622.26,579.63,,,,,,
2015,1,499.38,498.32,605.79,541.75,,,,,,
2015,2,491.82,478.42,605.06,558.8,,,,,,
2015,3,471.92,431.58,604.09,534.64,,,,,,
2015,4,463.01,421.53,581.2,530.71,,,,,,
2016,1,455.21,428.41,568.78,503.54,,,,,,
2016,2,444.65,393.59,535.41,504.92,,,,,,
2016,3,435.52,384.41,533.81,475.92,,,,,,
2016,4,431.58,390.17,519.23,499.57,,,,,,
2017,1,431.56,399.89,481.68,479.09,,,,,,
2017,2,437.12,398.64,504.98,498.64,,,,,,
2017,3,410.87,358.54,480,442.33,,,,,,
2017,4,423.38,394.27,499.62,468.33,,,,,,
2018,1,418.64,412.18,492.47,441.01,,,,,,
2018,2,417.34,392.82,471.55,451.34,,,,,,
2018,3,409.19,391.43,470.17,437.25,,,,,,
2018,4,428.52,426.13,499.95,485.2,,,,,,
2019,1,416.19,421.99,480.67,451.27,,,,,,
2019,2,419.42,407.44,490.22,474.91,,,,,,
2019,3,404.24,390.66,462.26,447.36,,,,,,
2019,4,416.73,403.97,481.55,491.2,,,,,,
2020,1,391.11,386.51,430.6,432.74,,,,,,
2020,2,303.26,289.72,353.2,365.93,,,,,,
2020,3,283.19,242.25,248.87,332.62,,,,,,
2020,4,300.97,260.89,268.21,352.92,,,,,,
2021,1,297.24,278.2,272.13,345.3,,,,,,
2021,2,334.63,304.25,336.87,434.78,,,,,,
2021,3,345.05,319.09,375.53,438.48,,,,,,
2021,4,354.03,335.13,358.91,433.43,,,,,,
2022,1,347.56,352.8,350.64,385.19,,,,,,
2022,2,408.08,397.22,436.36,512.26,,,,,,
2022,3,387.96,380.67,426.13,463.25,,,,,,
2022,4,397.97,394.65,429.29,481.84,,,,,,
2023,1,381.55,394.33,400.49,422.84,,,,,,
,,,,,,,,,,,
NOTE: Inflation-Adjusted air fares are calculated using dollars for the year of the most recent fare release.,,,,,,,,,,,
SOURCE: Bureau of Transportation Statistics,,,,,,,,,,,
